row_id,column,error_type,error_value,right_value,missing_value,constraint,tuple_pairs
845,title,pattern_violation,_on Flux,Æon Flux,0
4529,language,pattern_violation,en,English,0
4530,language,pattern_violation,en,English,0
4531,language,pattern_violation,en,English,0
4532,language,pattern_violation,en,English,0
4533,language,pattern_violation,en,English,0
4534,language,pattern_violation,en,English,0
4535,language,pattern_violation,en,English,0
4536,language,pattern_violation,en,English,0
4537,language,pattern_violation,en,English,0
4538,language,pattern_violation,en,English,0
4539,language,pattern_violation,en,English,0
4540,language,pattern_violation,en,English,0
4541,language,pattern_violation,en,English,0
4542,language,pattern_violation,en,English,0
4543,language,pattern_violation,en,English,0
4544,language,pattern_violation,en,English,0
4545,language,pattern_violation,en,English,0
4546,language,pattern_violation,en,English,0
4547,language,pattern_violation,en,English,0
4548,language,pattern_violation,en,English,0
4549,language,pattern_violation,en,English,0
4550,language,pattern_violation,en,English,0
4551,language,pattern_violation,en,English,0
4552,language,pattern_violation,en,English,0
4553,language,pattern_violation,en,English,0
4554,language,pattern_violation,en,English,0
4555,language,pattern_violation,en,English,0
4556,language,pattern_violation,en,English,0
4557,language,pattern_violation,en,English,0
4558,language,pattern_violation,en,English,0
4559,language,pattern_violation,en,English,0
4560,language,pattern_violation,en,English,0
4561,language,pattern_violation,en,English,0
4562,language,pattern_violation,en,English,0
4563,language,pattern_violation,en,English,0
4564,language,pattern_violation,en,English,0
4565,language,pattern_violation,en,English,0
4566,language,pattern_violation,en,English,0
4567,language,pattern_violation,en,English,0
4568,language,pattern_violation,en,English,0
4569,language,pattern_violation,en,English,0
4570,language,pattern_violation,en,English,0
4571,language,pattern_violation,en,English,0
4572,language,pattern_violation,en,English,0
4573,language,pattern_violation,en,English,0
4574,language,pattern_violation,en,English,0
4575,language,pattern_violation,en,English,0
4576,language,pattern_violation,en,English,0
4577,language,pattern_violation,en,English,0
4578,language,pattern_violation,en,English,0
4579,language,pattern_violation,en,English,0
4580,language,pattern_violation,en,English,0
4581,language,pattern_violation,en,English,0
4582,language,pattern_violation,en,English,0
4583,language,pattern_violation,en,English,0
4584,language,pattern_violation,en,English,0
4585,language,pattern_violation,en,English,0
4586,language,pattern_violation,en,English,0
4587,language,pattern_violation,en,English,0
4588,language,pattern_violation,en,English,0
4589,language,pattern_violation,en,English,0
4590,language,pattern_violation,en,English,0
4591,language,pattern_violation,en,English,0
4592,language,pattern_violation,en,English,0
4593,language,pattern_violation,en,English,0
4594,language,pattern_violation,en,English,0
4595,language,pattern_violation,en,English,0
4596,language,pattern_violation,en,English,0
4597,language,pattern_violation,en,English,0
4598,language,pattern_violation,en,English,0
4599,language,pattern_violation,en,English,0
4600,language,pattern_violation,en,English,0
4601,language,pattern_violation,en,English,0
4602,language,pattern_violation,en,English,0
4603,language,pattern_violation,en,English,0
4604,language,pattern_violation,en,English,0
4605,language,pattern_violation,en,English,0
4606,language,pattern_violation,en,English,0
4607,language,pattern_violation,en,English,0
4608,language,pattern_violation,en,English,0
4609,language,pattern_violation,en,English,0
4610,language,pattern_violation,en,English,0
4611,language,pattern_violation,en,English,0
4612,language,pattern_violation,en,English,0
4613,language,pattern_violation,en,English,0
4614,language,pattern_violation,en,English,0
4615,language,pattern_violation,en,English,0
4616,language,pattern_violation,en,English,0
4617,language,pattern_violation,en,English,0
4618,language,pattern_violation,en,English,0
4619,language,pattern_violation,en,English,0
4620,language,pattern_violation,en,English,0
4621,language,pattern_violation,en,English,0
4622,language,pattern_violation,en,English,0
4623,language,pattern_violation,en,English,0
4624,language,pattern_violation,en,English,0
4625,language,pattern_violation,en,English,0
4626,language,pattern_violation,ja,Japanese,0
4627,language,pattern_violation,en,English,0
4628,language,pattern_violation,en,English,0
4629,language,pattern_violation,en,English,0
4630,language,pattern_violation,en,English,0
4631,language,pattern_violation,en,English,0
4632,language,pattern_violation,en,English,0
4633,language,pattern_violation,en,English,0
4634,language,pattern_violation,en,English,0
4635,language,pattern_violation,en,English,0
4636,language,pattern_violation,en,English,0
4637,language,pattern_violation,en,English,0
4638,language,pattern_violation,en,English,0
4639,language,pattern_violation,en,English,0
4640,language,pattern_violation,en,English,0
4641,language,pattern_violation,en,English,0
4642,language,pattern_violation,en,English,0
4643,language,pattern_violation,en,English,0
4644,language,pattern_violation,en,English,0
4645,language,pattern_violation,en,English,0
4646,language,pattern_violation,en,English,0
4647,language,pattern_violation,en,English,0
4648,language,pattern_violation,en,English,0
4649,language,pattern_violation,en,English,0
4650,language,pattern_violation,en,English,0
4651,language,pattern_violation,en,English,0
4652,language,pattern_violation,en,English,0
4653,language,pattern_violation,en,English,0
4654,language,pattern_violation,en,English,0
4655,language,pattern_violation,en,English,0
4656,language,pattern_violation,en,English,0
4657,language,pattern_violation,en,English,0
4658,language,pattern_violation,en,English,0
4659,language,pattern_violation,en,English,0
4660,language,pattern_violation,en,English,0
4661,language,pattern_violation,en,English,0
4662,language,pattern_violation,en,English,0
4663,language,pattern_violation,en,English,0
4664,language,pattern_violation,en,English,0
4665,language,pattern_violation,en,English,0
4666,language,pattern_violation,en,English,0
4667,language,pattern_violation,en,English,0
4668,language,pattern_violation,en,English,0
4669,language,pattern_violation,en,English,0
4670,language,pattern_violation,en,English,0
4671,language,pattern_violation,en,English,0
4672,language,pattern_violation,en,English,0
4673,language,pattern_violation,en,English,0
4674,language,pattern_violation,en,English,0
4675,language,pattern_violation,en,English,0
4676,language,pattern_violation,en,English,0
4677,language,pattern_violation,en,English,0
4678,language,pattern_violation,en,English,0
4679,language,pattern_violation,en,English,0
4680,language,pattern_violation,en,English,0
4681,language,pattern_violation,en,English,0
4682,language,pattern_violation,en,English,0
4683,language,pattern_violation,en,English,0
4684,language,pattern_violation,en,English,0
4685,language,pattern_violation,en,English,0
4686,language,pattern_violation,en,English,0
4687,language,pattern_violation,en,English,0
4688,language,pattern_violation,en,English,0
4689,language,pattern_violation,en,English,0
4690,language,pattern_violation,en,English,0
4691,language,pattern_violation,en,English,0
4692,language,pattern_violation,en,English,0
4693,language,pattern_violation,en,English,0
4694,language,pattern_violation,en,English,0
4695,language,pattern_violation,en,English,0
4696,language,pattern_violation,en,English,0
4697,language,pattern_violation,en,English,0
4698,language,pattern_violation,en,English,0
4699,language,pattern_violation,en,English,0
4700,language,pattern_violation,en,English,0
4701,language,pattern_violation,en,English,0
4702,language,pattern_violation,en,English,0
4703,language,pattern_violation,en,English,0
4704,language,pattern_violation,en,English,0
4705,language,pattern_violation,en,English,0
4706,language,pattern_violation,en,English,0
4707,language,pattern_violation,en,English,0
4708,language,pattern_violation,en,English,0
4709,language,pattern_violation,en,English,0
4710,language,pattern_violation,en,English,0
4711,language,pattern_violation,en,English,0
4712,language,pattern_violation,en,English,0
4713,language,pattern_violation,en,English,0
4714,language,pattern_violation,en,English,0
4715,language,pattern_violation,en,English,0
4716,language,pattern_violation,en,English,0
4717,language,pattern_violation,en,English,0
4718,language,pattern_violation,en,English,0
4719,language,pattern_violation,en,English,0
4720,language,pattern_violation,en,English,0
4721,language,pattern_violation,en,English,0
4722,language,pattern_violation,en,English,0
4723,language,pattern_violation,en,English,0
4724,language,pattern_violation,en,English,0
4725,language,pattern_violation,en,English,0
4726,language,pattern_violation,en,English,0
4727,language,pattern_violation,en,English,0
4728,language,pattern_violation,en,English,0
4729,language,pattern_violation,en,English,0
4730,language,pattern_violation,en,English,0
4731,language,pattern_violation,en,English,0
4732,language,pattern_violation,en,English,0
4733,language,pattern_violation,en,English,0
4734,language,pattern_violation,en,English,0
4735,language,pattern_violation,en,English,0
4736,language,pattern_violation,en,English,0
4737,language,pattern_violation,en,English,0
4738,language,pattern_violation,en,English,0
4739,language,pattern_violation,en,English,0
4740,language,pattern_violation,en,English,0
4741,language,pattern_violation,en,English,0
4742,language,pattern_violation,en,English,0
4743,language,pattern_violation,en,English,0
4744,language,pattern_violation,en,English,0
4745,language,pattern_violation,en,English,0
4746,language,pattern_violation,en,English,0
4747,language,pattern_violation,en,English,0
4748,language,pattern_violation,en,English,0
4749,language,pattern_violation,en,English,0
4750,language,pattern_violation,en,English,0
4751,language,pattern_violation,en,English,0
4752,language,pattern_violation,en,English,0
4753,language,pattern_violation,en,English,0
4754,language,pattern_violation,en,English,0
4755,language,pattern_violation,en,English,0
4756,language,pattern_violation,en,English,0
4757,language,pattern_violation,en,English,0
4758,language,pattern_violation,en,English,0
4759,language,pattern_violation,en,English,0
4760,language,pattern_violation,en,English,0
4761,language,pattern_violation,en,English,0
4762,language,pattern_violation,en,English,0
4763,language,pattern_violation,en,English,0
4764,language,pattern_violation,fr,French,0
4765,language,pattern_violation,en,English,0
4766,language,pattern_violation,en,English,0
4767,language,pattern_violation,en,English,0
4768,language,pattern_violation,en,English,0
4769,language,pattern_violation,en,English,0
4770,language,pattern_violation,en,English,0
4771,language,pattern_violation,en,English,0
4772,language,pattern_violation,en,English,0
4773,language,pattern_violation,en,English,0
4774,language,pattern_violation,en,English,0
4775,language,pattern_violation,en,English,0
4776,language,pattern_violation,en,English,0
4777,language,pattern_violation,en,English,0
4778,language,pattern_violation,en,English,0
4779,language,pattern_violation,en,English,0
4780,language,pattern_violation,en,English,0
4781,language,pattern_violation,en,English,0
4782,language,pattern_violation,en,English,0
4783,language,pattern_violation,en,English,0
4784,language,pattern_violation,en,English,0
4785,language,pattern_violation,en,English,0
4786,language,pattern_violation,en,English,0
4787,language,pattern_violation,en,English,0
4788,language,pattern_violation,en,English,0
4789,language,pattern_violation,en,English,0
4790,language,pattern_violation,en,English,0
4791,language,pattern_violation,en,English,0
4792,language,pattern_violation,en,English,0
4793,language,pattern_violation,en,English,0
4794,language,pattern_violation,en,English,0
4795,language,pattern_violation,en,English,0
4796,language,pattern_violation,en,English,0
4797,language,pattern_violation,en,English,0
4798,language,pattern_violation,en,English,0
4799,language,pattern_violation,en,English,0
4800,language,pattern_violation,en,English,0
4801,language,pattern_violation,en,English,0
4802,language,pattern_violation,en,English,0
4803,language,pattern_violation,en,English,0
4804,language,pattern_violation,en,English,0
4805,language,pattern_violation,en,English,0
4806,language,pattern_violation,en,English,0
4807,language,pattern_violation,en,English,0
4808,language,pattern_violation,en,English,0
4809,language,pattern_violation,en,English,0
4810,language,pattern_violation,en,English,0
4811,language,pattern_violation,en,English,0
4812,language,pattern_violation,en,English,0
4813,language,pattern_violation,en,English,0
4814,language,pattern_violation,en,English,0
4815,language,pattern_violation,en,English,0
4816,language,pattern_violation,en,English,0
4817,language,pattern_violation,en,English,0
4818,language,pattern_violation,en,English,0
4819,language,pattern_violation,en,English,0
4820,language,pattern_violation,en,English,0
4821,language,pattern_violation,en,English,0
4822,language,pattern_violation,en,English,0
4823,language,pattern_violation,en,English,0
4824,language,pattern_violation,en,English,0
4825,language,pattern_violation,en,English,0
4826,language,pattern_violation,en,English,0
4827,language,pattern_violation,en,English,0
4828,language,pattern_violation,en,English,0
4829,language,pattern_violation,en,English,0
4830,language,pattern_violation,en,English,0
4831,language,pattern_violation,en,English,0
4832,language,pattern_violation,en,English,0
4833,language,pattern_violation,en,English,0
4834,language,pattern_violation,en,English,0
4835,language,pattern_violation,en,English,0
4836,language,pattern_violation,en,English,0
4837,language,pattern_violation,en,English,0
4838,language,pattern_violation,en,English,0
4839,language,pattern_violation,en,English,0
4840,language,pattern_violation,en,English,0
4841,language,pattern_violation,en,English,0
4842,language,pattern_violation,en,English,0
4843,language,pattern_violation,en,English,0
4844,language,pattern_violation,en,English,0
4845,language,pattern_violation,en,English,0
4846,language,pattern_violation,zh,Chinese,0
4847,language,pattern_violation,en,English,0
4848,language,pattern_violation,en,English,0
4849,language,pattern_violation,en,English,0
4850,language,pattern_violation,en,English,0
4851,language,pattern_violation,en,English,0
4852,language,pattern_violation,en,English,0
4853,language,pattern_violation,en,English,0
4854,language,pattern_violation,en,English,0
4855,language,pattern_violation,en,English,0
4856,language,pattern_violation,en,English,0
4857,language,pattern_violation,en,English,0
4858,language,pattern_violation,en,English,0
4859,language,pattern_violation,en,English,0
4860,language,pattern_violation,en,English,0
4861,language,pattern_violation,en,English,0
4862,language,pattern_violation,en,English,0
4863,language,pattern_violation,en,English,0
4864,language,pattern_violation,en,English,0
4865,language,pattern_violation,en,English,0
4866,language,pattern_violation,en,English,0
4867,language,pattern_violation,en,English,0
4868,language,pattern_violation,en,English,0
4869,language,pattern_violation,en,English,0
4870,language,pattern_violation,en,English,0
4871,language,pattern_violation,en,English,0
4872,language,pattern_violation,en,English,0
4873,language,pattern_violation,en,English,0
4874,language,pattern_violation,en,English,0
4875,language,pattern_violation,en,English,0
4876,language,pattern_violation,en,English,0
4877,language,pattern_violation,en,English,0
4878,language,pattern_violation,en,English,0
4879,language,pattern_violation,en,English,0
4880,language,pattern_violation,en,English,0
4881,language,pattern_violation,en,English,0
4882,language,pattern_violation,en,English,0
4883,language,pattern_violation,en,English,0
4884,language,pattern_violation,en,English,0
4885,language,pattern_violation,en,English,0
4886,language,pattern_violation,en,English,0
