row,title,genres,budget,language,duration,year,vote_count,score
0,Avatar,0,237000000.0,English,178.0,2009.0,886204,7.9
1,Pirates of the Caribbean: At World's End,0,300000000.0,English,169.0,2007.0,471220,7.1
2,Spectre,0,245000000.0,English,148.0,2015.0,275868,6.8
3,The Dark Knight Rises,0,250000000.0,English,164.0,2012.0,1144337,8.5
4,John Carter,0,263700000.0,English,132.0,2012.0,212204,6.6
5,Spider-Man 3,0,258000000.0,English,156.0,2007.0,383056,6.2
6,Tangled,1,260000000.0,English,100.0,2010.0,294810,7.8
7,Avengers: Age of Ultron,0,250000000.0,English,141.0,2015.0,462669,7.5
8,Harry Potter and the Half-Blood Prince,0,250000000.0,English,153.0,2009.0,321795,7.5
9,Batman v Superman: Dawn of Justice,0,250000000.0,English,183.0,2016.0,371639,6.9
10,Superman Returns,0,209000000.0,English,169.0,2006.0,240396,6.1
11,Quantum of Solace,0,200000000.0,English,106.0,2008.0,330784,6.7
12,Pirates of the Caribbean: Dead Man's Chest,0,225000000.0,English,151.0,2006.0,522040,7.3
13,The Lone Ranger,0,215000000.0,English,150.0,2013.0,181792,6.5
14,Man of Steel,0,225000000.0,English,143.0,2013.0,548573,7.2
15,The Chronicles of Narnia: Prince Caspian,0,225000000.0,English,150.0,2008.0,149922,6.6
16,The Avengers,0,220000000.0,English,173.0,2012.0,995415,8.1
17,Pirates of the Caribbean: On Stranger Tides,0,250000000.0,English,136.0,2011.0,370704,6.7
18,Men in Black 3,1,225000000.0,English,106.0,2012.0,268154,6.8
19,The Hobbit: The Battle of the Five Armies,0,250000000.0,English,164.0,2014.0,354228,7.5
20,The Amazing Spider-Man,0,230000000.0,English,153.0,2012.0,451803,7.0
21,Robin Hood,0,200000000.0,English,156.0,2010.0,211765,6.7
22,The Hobbit: The Desolation of Smaug,0,225000000.0,English,186.0,2013.0,483540,7.9
23,The Golden Compass,0,180000000.0,English,113.0,2007.0,149019,6.1
24,King Kong,0,207000000.0,English,201.0,2005.0,316018,7.2
25,Titanic,0,200000000.0,English,194.0,1997.0,793059,7.7
26,Captain America: Civil War,0,250000000.0,English,147.0,2016.0,272670,8.2
27,Battleship,0,209000000.0,English,131.0,2012.0,202382,5.9
28,Jurassic World,0,150000000.0,English,124.0,2015.0,418214,7.0
29,Skyfall,0,200000000.0,English,143.0,2012.0,522030,7.8
30,Spider-Man 2,0,200000000.0,English,135.0,2004.0,411164,7.3
31,Iron Man 3,0,200000000.0,English,195.0,2013.0,557489,7.2
32,Alice in Wonderland,0,200000000.0,English,108.0,2010.0,306320,6.5
33,X-Men: The Last Stand,0,210000000.0,English,104.0,2006.0,383427,6.8
34,Monsters University,1,200000000.0,English,104.0,2013.0,235025,7.3
35,Transformers: Revenge of the Fallen,0,200000000.0,English,150.0,2009.0,323207,6.0
36,Transformers: Age of Extinction,0,210000000.0,English,165.0,2014.0,242420,5.7
37,Oz the Great and Powerful,0,215000000.0,English,130.0,2013.0,175409,6.4
38,The Amazing Spider-Man 2,0,200000000.0,English,142.0,2014.0,321227,6.7
39,TRON: Legacy,0,170000000.0,English,125.0,2010.0,264183,6.8
40,Cars 2,1,200000000.0,English,106.0,2011.0,101178,6.3
41,Green Lantern,0,200000000.0,English,123.0,2011.0,223393,5.6
42,Toy Story 3,1,200000000.0,English,103.0,2010.0,544884,8.3
43,Terminator Salvation,0,200000000.0,English,118.0,2009.0,286095,6.6
44,Furious 7,0,190000000.0,English,140.0,2015.0,278232,7.2
45,World War Z,0,190000000.0,English,123.0,2013.0,465019,7.0
46,X-Men: Days of Future Past,0,200000000.0,English,149.0,2014.0,514125,8.0
47,Star Trek Into Darkness,0,190000000.0,English,132.0,2013.0,395573,7.8
48,Jack the Giant Slayer,0,195000000.0,English,114.0,2013.0,106416,6.3
49,The Great Gatsby,0,105000000.0,English,143.0,2013.0,362912,7.3
50,Prince of Persia: The Sands of Time,0,200000000.0,English,116.0,2010.0,222403,6.6
51,Pacific Rim,0,190000000.0,English,131.0,2013.0,381148,7.0
52,Transformers: Dark of the Moon,0,195000000.0,English,154.0,2011.0,326180,6.3
53,Indiana Jones and the Kingdom of the Crystal Skull,0,185000000.0,English,122.0,2008.0,333847,6.2
54,Brave,1,185000000.0,English,93.0,2012.0,273556,7.2
55,Star Trek Beyond,0,185000000.0,English,122.0,2016.0,53607,7.5
56,WALL·E,0,180000000.0,English,98.0,2008.0,718837,8.4
57,Rush Hour 3,1,140000000.0,English,91.0,2007.0,121084,6.2
58,2012,0,200000000.0,English,158.0,2009.0,283418,5.8
59,A Christmas Carol,0,200000000.0,English,96.0,2009.0,72809,6.8
60,Jupiter Ascending,0,176000000.0,English,127.0,2015.0,139593,5.4
61,The Legend of Tarzan,0,180000000.0,English,110.0,2016.0,42372,6.6
62,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0,180000000.0,English,150.0,2005.0,286506,6.9
63,X-Men: Apocalypse,0,178000000.0,English,144.0,2016.0,148379,7.3
64,The Dark Knight,0,185000000.0,English,152.0,2008.0,1676169,9.0
65,Up,1,175000000.0,English,96.0,2009.0,665575,8.3
66,Monsters vs. Aliens,1,175000000.0,English,94.0,2009.0,114553,6.5
67,Iron Man,0,140000000.0,English,126.0,2008.0,696338,7.9
68,Hugo,0,170000000.0,English,126.0,2011.0,245333,7.5
