row,name,streetAddress,city,state,zipCode,telephone,website,priceRange,categories,ratingValue,neighborhood
0,full shilling,160 Pearl St,New York,NY,10005,(212) 422-3855,http://www.thefullshilling.com,1,Sandwich Shops;Take Out Restaurants;Hamburgers & Hot Dogs;Health Food Restaurants;Bar & Grills;Bars;Restaurants,4,Downtown Manhattan;Financial District
1,dovetail,103 W 77th St,New York,NY,10024,(212) 362-3800,http://www.dovetailnyc.com;http://dovetailnyc.info,1,American Restaurants;French Restaurants;Ice Cream & Frozen Desserts;Fine Dining Restaurants;Bar & Grills;Restaurants,4,Upper Manhattan;Upper West Side
2,patron mexican grill,608 9th Ave,New York,NY,10036,(212) 957-9050,http://www.patronnyc.com,1,Mexican Restaurants;Latin American Restaurants;Bar & Grills;Take Out Restaurants;Restaurants,3.5,Hell's Kitchen;Midtown Manhattan
3,ko sushi,1329 2nd Ave,New York,NY,10021,(212) 439-1678,http://newkosushi.com,1,Sushi Bars;Japanese Restaurants;Asian Restaurants;Caterers;Family Style Restaurants;Restaurants,4,Upper Manhattan;Upper East Side
4,pig'n whistle on third,922 3rd Ave,New York,NY,10022,(212) 688-4646,http://www.pignwhistleon3.com,1,Breakfast Brunch & Lunch Restaurants;Bar & Grills;Hamburgers & Hot Dogs;Restaurants,4,Midtown East;Midtown Manhattan
5,toloache restaurant,251 W 50th St,New York,NY,10019,(212) 581-1818,http://www.toloachenyc.com;http://toloachenyc.com/media/toloache.html,1,Mexican Restaurants;Fine Dining Restaurants;Bar & Grills;Breakfast Brunch & Lunch Restaurants;Take Out Restaurants;Caterers;Latin American Restaurants;Family Style Restaurants;Restaurants,3.5,Theater District;Midtown Manhattan
6,mono mono,116 E 4th St,New York,NY,10003,(212) 221-2222,http://www.sushimono.com;http://www.monomononyc.com,1,Korean Restaurants;Asian Restaurants;Restaurants,5,Downtown Manhattan;Bowery
7,wichcraft,269 11th Ave,New York,NY,10001,(212) 780-0577,http://www.wichcraftnyc.com;http://wichcraftnyc.com/food,0,Take Out Restaurants;Delicatessens;American Restaurants;Family Style Restaurants;Caterers;Restaurants,1,Chelsea;Midtown Manhattan
8,the palm restaurant,250 W 50th St,New York,NY,10019,(212) 333-7256,http://www.thepalm.com,1,Restaurants;Steak Houses;Italian Restaurants,4,Theater District;Midtown Manhattan
9,brother jimmy's west side,428 Amsterdam Ave,New York,NY,10024,(212) 501-7515,http://www.brotherjimmys.com,1,Barbecue Restaurants;Take Out Restaurants;Caterers;Bars;American Restaurants;Family Style Restaurants;Restaurants,4,Upper West Side;Upper Manhattan
10,grifone,244 E 46th St,New York,NY,10017,(212) 490-7275,http://www.grifonenyc.com,1,Mediterranean Restaurants;Take Out Restaurants;Italian Restaurants;Family Style Restaurants;Restaurants,4,Midtown Manhattan;Turtle Bay;Midtown East
11,galaxy diner,665 9th Ave,New York,NY,10036,(212) 586-4885,http://www.galaxydinernyc.com;http://galaxycafeaustin.com;http://gramercycafenyc.com,0,American Restaurants;Take Out Restaurants;Caterers;Sandwich Shops;Health Food Restaurants;Mexican Restaurants;Breakfast Brunch & Lunch Restaurants;Coffee Shops;Restaurants,3.5,Hell's Kitchen;Midtown Manhattan
12,la bellezza pizzeria,145 E 49th St,New York,NY,10017,(212) 871-3223,http://www.labellezzanyc.com;http://www.labellezzapizzeria.com,1,Pizza;Italian Restaurants;Restaurants,5,Midtown Manhattan;Turtle Bay;Midtown East
13,new hon wong restaurant,244 Canal St,New York,NY,10013,(212) 925-8438,http://www.newhonwong.com,0,Chinese Restaurants;Asian Restaurants;Family Style Restaurants;Take Out Restaurants;Restaurants,4,Downtown Manhattan;SoHo
14,pipa tapas bar,888 Broadway,New York,NY,10003,(212) 677-2233,http://www.pipa-nyc.com;http://abccocinanyc.com,1,Tapas;Pizza;Fine Dining Restaurants;Spanish Restaurants;Bars;Bar & Grills;Restaurants,3.5,Flatiron District;Midtown Manhattan
15,tout-va-bien restaurant,311 W 51st St # 1,New York,NY,10019,(212) 265-0190,http://www.letoutvabien.com,1,Continental Restaurants;French Restaurants;Family Style Restaurants;Restaurants,3.5,Hell's Kitchen;Midtown Manhattan
16,minar indian restaurant,138 W 46th St,New York,NY,10036,(212) 398-4600,http://www.minarny.com;http://www.minars.com;http://minar-indian.com,0,Indian Restaurants;Take Out Restaurants;Caterers;Asian Restaurants;Middle Eastern Restaurants;Restaurants,3,Midtown Manhattan;Theater District
