row,date,moteid,hour,minute,epoch,temperature,humidity,light,voltage
0,2004/2/28,1,0,59,3,19.9884,37.0933,45.08,2.69964
1,2004/2/28,1,1,3,11,19.3024,38.4629,45.08,2.68742
2,2004/2/28,1,1,6,17,19.1652,38.8039,45.08,2.68742
3,2004/2/28,1,1,8,22,19.1456,38.9401,45.08,2.68742
4,2004/2/28,1,1,9,23,19.1652,38.872,45.08,2.68742
5,2004/2/28,1,1,10,25,19.1456,38.8379,45.08,2.69964
6,2004/2/28,1,1,11,28,19.1456,38.9401,45.08,2.69964
7,2004/2/28,1,1,12,30,19.1358,38.9061,45.08,2.68742
8,2004/2/28,1,1,14,33,19.1162,38.8039,45.08,2.69964
9,2004/2/28,1,1,15,35,19.1064,39.0082,45.08,2.69964
10,2004/2/28,1,1,16,37,19.1064,38.872,43.24,2.69964
11,2004/2/28,1,1,17,40,19.0966,38.7357,43.24,2.69964
12,2004/2/28,1,1,18,41,19.0868,38.8039,43.24,2.69964
13,2004/2/28,1,1,20,45,19.0672,38.9061,43.24,2.68742
14,2004/2/28,1,1,21,47,19.0672,38.9061,43.24,2.69964
15,2004/2/28,1,1,22,49,19.0868,39.0082,43.24,2.69964
16,2004/2/28,1,1,23,51,19.0182,38.7357,43.24,2.68742
17,2004/2/28,1,1,24,53,19.0084,38.8039,43.24,2.69964
18,2004/2/28,1,1,26,57,19.0084,38.9401,43.24,2.68742
19,2004/2/28,1,1,28,62,18.9986,38.9742,43.24,2.68742
20,2004/2/28,1,1,29,64,19.0084,38.9742,43.24,2.69964
21,2004/2/28,1,1,30,66,18.9888,39.0422,43.24,2.68742
22,2004/2/28,1,1,32,69,18.9692,38.9401,43.24,2.69964
23,2004/2/28,1,1,33,72,18.979,38.9742,43.24,2.68742
24,2004/2/28,1,1,34,74,18.9692,38.9401,43.24,2.68742
25,2004/2/28,1,1,35,75,18.9888,38.8039,43.24,2.69964
26,2004/2/28,1,1,36,77,18.979,38.872,43.24,2.68742
27,2004/2/28,1,1,37,79,18.9692,38.8039,43.24,2.69964
28,2004/2/28,1,1,39,84,18.9594,38.8039,43.24,2.68742
29,2004/2/28,1,1,42,89,18.9594,38.8379,43.24,2.68742
30,2004/2/28,1,1,44,93,18.9398,38.7698,43.24,2.68742
31,2004/2/28,1,1,45,96,18.93,38.8039,43.24,2.69964
32,2004/2/28,1,1,46,98,18.9202,38.872,43.24,2.68742
