row,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
0,1436,Pub Beer,American Pale Lager,12.0 oz,0.05,,408,10 Barrel Brewing Company,Bend,OR
1,2265,Devil's Cup,American Pale Ale (APA),12.0 oz.,0.066,,177,18th Street Brewery,Gary,IN
2,2264,Rise of the Phoenix,American IPA,12.0 ounce,0.071,,177,18th Street Brewery,Gary,IN
3,2263,Sinister,American Double / Imperial IPA,12.0 oz,0.09%,,177,18th Street Brewery,Gary,IN
4,2262,Sex and Candy,American IPA,12.0 OZ.,0.075,,177,18th Street Brewery,Gary,IN
5,2261,Black Exodus,Oatmeal Stout,12.0 oz,0.077,,177,18th Street Brewery,Gary,IN
6,2260,Lake Street Express,American Pale Ale (APA),12.0 oz.,0.05%,,177,18th Street Brewery,Gary,IN
7,2259,Foreman,American Porter,12.0 ounce,0.065,,177,18th Street Brewery,Gary,IN
8,2258,Jade,American Pale Ale (APA),12.0 oz.,0.055,,177,18th Street Brewery,Gary,IN
9,2131,Cone Crusher,American Double / Imperial IPA,12.0 ounce,0.086,,177,18th Street Brewery,Gary,IN
10,2099,Sophomoric Saison,Saison / Farmhouse Ale,12.0 oz.,0.072,,177,18th Street Brewery,Gary,IN
11,2098,Regional Ring Of Fire,Saison / Farmhouse Ale,12.0 oz.,0.073,,177,18th Street Brewery,Gary,IN
12,2097,Garce Selé,Saison / Farmhouse Ale,12.0 OZ.,0.07%,,177,18th Street Brewery,Gary,IN
13,1980,Troll Destroyer,Belgian IPA,12.0 oz.,0.085,,177,18th Street Brewery,Gary,IN
14,1979,Bitter Bitch,American Pale Ale (APA),12.0 ounce,0.06%,60,177,18th Street Brewery,Gary,IN
15,2318,Ginja Ninja,Cider,12.0 ounce,0.06,,154,2 Towns Ciderhouse,Corvallis,OR
16,2170,Cherried Away,Cider,12.0 oz.,0.06,,154,2 Towns Ciderhouse,Corvallis,OR
17,2169,Rhubarbarian,Cider,12.0 oz. Alumi-Tek,0.06,,154,2 Towns Ciderhouse,Corvallis,OR
18,1502,BrightCider,Cider,12.0 ounce,0.06,,154,2 Towns Ciderhouse,Corvallis,OR
19,1593,He Said Baltic-Style Porter,Baltic Porter,12.0 oz.,0.082,,368,21st Amendment Brewery,San Francisco,CA
20,1592,He Said Belgian-Style Tripel,Tripel,12.0 oz.,0.082,,368,21st Amendment Brewery,San Francisco CA,
