row_id,column,error_type,error_value,right_value,missing_value,constraint,tuple_pairs
190,sched_arr_time,rule_violation,4:52 p.m.,5:15 p.m.,0,"Constraint Violation: The flight of Row 90 is equal to the flight of Row 190, and The sched_arr_time of Row 90 is different from the sched_arr_time of Row 190.","(90, 190)"
221,sched_arr_time,rule_violation,6:09 p.m.,6:40 p.m.,0,"Constraint Violation: The flight of Row 123 is equal to the flight of Row 221, and The sched_arr_time of Row 123 is different from the sched_arr_time of Row 221.","(123, 221)"
948,sched_arr_time,rule_violation,6:09 p.m.,6:40 p.m.,0,"Constraint Violation: The flight of Row 123 is equal to the flight of Row 948, and The sched_arr_time of Row 123 is different from the sched_arr_time of Row 948.","(123, 948)"
53,act_dep_time,rule_violation,8:48 a.m.,8:29 a.m.,0,"Constraint Violation: The flight of Row 53 is equal to the flight of Row 153, and The act_dep_time of Row 53 is different from the act_dep_time of Row 153.","(53, 153)"
54,act_dep_time,rule_violation,9:00 a.m.,8:42 a.m.,0,"Constraint Violation: The flight of Row 54 is equal to the flight of Row 154, and The act_dep_time of Row 54 is different from the act_dep_time of Row 154.","(54, 154)"
55,act_dep_time,rule_violation,7:59 p.m.,7:58 p.m.,0,"Constraint Violation: The flight of Row 1 is equal to the flight of Row 55, and The act_dep_time of Row 1 is different from the act_dep_time of Row 55.","(1, 55)"
56,act_dep_time,rule_violation,3:50 p.m.,3:27 p.m.,0,"Constraint Violation: The flight of Row 56 is equal to the flight of Row 256, and The act_dep_time of Row 56 is different from the act_dep_time of Row 256.","(56, 256)"
58,act_dep_time,rule_violation,11:41 a.m.,11:40 a.m.,0,"Constraint Violation: The flight of Row 45 is equal to the flight of Row 58, and The act_dep_time of Row 45 is different from the act_dep_time of Row 58.","(45, 58)"
60,act_dep_time,rule_violation,11:29 p.m.,11:25 p.m.,0,"Constraint Violation: The flight of Row 5 is equal to the flight of Row 60, and The act_dep_time of Row 5 is different from the act_dep_time of Row 60.","(5, 60)"
63,act_dep_time,rule_violation,4:10 p.m.,4:00 p.m.,0,"Constraint Violation: The flight of Row 63 is equal to the flight of Row 263, and The act_dep_time of Row 63 is different from the act_dep_time of Row 263.","(63, 263)"
73,act_dep_time,rule_violation,3:04 p.m.,2:55 p.m.,0,"Constraint Violation: The flight of Row 73 is equal to the flight of Row 320, and The act_dep_time of Row 73 is different from the act_dep_time of Row 320.","(73, 320)"
77,act_dep_time,rule_violation,11:45 a.m.,11:30 a.m.,0,"Constraint Violation: The flight of Row 77 is equal to the flight of Row 271, and The act_dep_time of Row 77 is different from the act_dep_time of Row 271.","(77, 271)"
81,act_dep_time,rule_violation,2:03 p.m.,2:04 p.m.,0,"Constraint Violation: The flight of Row 14 is equal to the flight of Row 81, and The act_dep_time of Row 14 is different from the act_dep_time of Row 81.","(14, 81)"
82,act_dep_time,rule_violation,8:07 a.m.,7:49 a.m.,0,"Constraint Violation: The flight of Row 82 is equal to the flight of Row 618, and The act_dep_time of Row 82 is different from the act_dep_time of Row 618.","(82, 618)"
83,act_dep_time,rule_violation,12:56 p.m.,12:35 p.m.,0,"Constraint Violation: The flight of Row 83 is equal to the flight of Row 571, and The act_dep_time of Row 83 is different from the act_dep_time of Row 571.","(83, 571)"
84,act_dep_time,rule_violation,12:14 p.m.,12:13 p.m.,0,"Constraint Violation: The flight of Row 16 is equal to the flight of Row 84, and The act_dep_time of Row 16 is different from the act_dep_time of Row 84.","(16, 84)"
85,act_dep_time,rule_violation,2:43 p.m.,2:26 p.m.,0,"Constraint Violation: The flight of Row 85 is equal to the flight of Row 307, and The act_dep_time of Row 85 is different from the act_dep_time of Row 307.","(85, 307)"
86,act_dep_time,rule_violation,12:07 p.m.,3:11 a.m.,0,"Constraint Violation: The flight of Row 86 is equal to the flight of Row 186, and The act_dep_time of Row 86 is different from the act_dep_time of Row 186.","(86, 186)"
90,act_dep_time,rule_violation,1:43 p.m.,1:32 p.m.,0,"Constraint Violation: The flight of Row 90 is equal to the flight of Row 190, and The act_dep_time of Row 90 is different from the act_dep_time of Row 190.","(90, 190)"
93,act_dep_time,rule_violation,6:47 p.m.,6:30 p.m.,0,"Constraint Violation: The flight of Row 2 is equal to the flight of Row 93, and The act_dep_time of Row 2 is different from the act_dep_time of Row 93.","(2, 93)"
94,act_dep_time,rule_violation,6:56 p.m.,6:55 p.m.,0,"Constraint Violation: The flight of Row 23 is equal to the flight of Row 94, and The act_dep_time of Row 23 is different from the act_dep_time of Row 94.","(23, 94)"
99,act_dep_time,rule_violation,6:57 a.m.,6:56 a.m.,0,"Constraint Violation: The flight of Row 25 is equal to the flight of Row 99, and The act_dep_time of Row 25 is different from the act_dep_time of Row 99.","(25, 99)"
