row_id,columns,error_type,right_value,error_value,missing_value,constraint,tuple_pairs
0,MeasureName,rule_violation,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery,0,"Constraint Violation: The MeasureCode of Row 0 is equal to the MeasureCode of Row 136, and The MeasureName of Row 0 is different from the MeasureName of Row 136.","(0, 136)"
3,City,rule_violation,birmingham,birminghxm,0,"Constraint Violation: The HospitalName of Row 1 is equal to the HospitalName of Row 3, and The City of Row 1 is different from the City of Row 3.","(1, 3)"
7,City,rule_violation,birmingham,birmingxam,0,"Constraint Violation: The HospitalName of Row 0 is equal to the HospitalName of Row 7, and The City of Row 0 is different from the City of Row 7.","(0, 7)"
10,City,rule_violation,sheffield,sheffxeld,0,"Constraint Violation: The HospitalName of Row 10 is equal to the HospitalName of Row 454, and The City of Row 10 is different from the City of Row 454.","(10, 454)"
13,ProviderNumber,rule_violation,10019,1xx19,0,"Constraint Violation: The HospitalName of Row 13 is equal to the HospitalName of Row 461, and The ProviderNumber of Row 13 is different from the ProviderNumber of Row 461.","(13, 461)"
16,HospitalType,pattern_violation,acute care hospitals,acuxe care hospixals,0,,
17,Sample,pattern_violation,37 patients,3x patients,0,,
21,Condition,rule_violation,heart attack,heart attaxk,0,"Constraint Violation: The MeasureCode of Row 21 is equal to the MeasureCode of Row 568, and The Condition of Row 21 is different from the Condition of Row 568.","(21, 568)"
22,HospitalOwner,rule_violation,government - hospital district or authority,government - hospxtal dxstrxct or authorxty,0,"Constraint Violation: The HospitalName of Row 22 is equal to the HospitalName of Row 34, and The HospitalOwner of Row 22 is different from the HospitalOwner of Row 34.","(22, 34)"
22,Condition,rule_violation,heart attack,hearx axxack,0,"Constraint Violation: The MeasureCode of Row 22 is equal to the MeasureCode of Row 494, and The Condition of Row 22 is different from the Condition of Row 494.","(22, 494)"
24,PhoneNumber,rule_violation,3347938701,334793870x,0,"Constraint Violation: The HospitalName of Row 24 is equal to the HospitalName of Row 25, and The PhoneNumber of Row 24 is different from the PhoneNumber of Row 25.","(24, 25)"
24,EmergencyService,rule_violation,yes,yxs,0,"Constraint Violation: The ZipCode of Row 24 is equal to the ZipCode of Row 43, and The EmergencyService of Row 24 is different from the EmergencyService of Row 43.","(24, 43)"
26,HospitalName,rule_violation,southeast alabama medical center,southeast alabama medxcal center,0,"Constraint Violation: The ProviderNumber of Row 24 is equal to the ProviderNumber of Row 26, and The HospitalName of Row 24 is different from the HospitalName of Row 26.","(24, 26)"
27,HospitalOwner,rule_violation,government - hospital district or authority,government - hospital xistrict or authority,0,"Constraint Violation: The HospitalName of Row 20 is equal to the HospitalName of Row 27, and The HospitalOwner of Row 20 is different from the HospitalOwner of Row 27.","(20, 27)"
31,HospitalOwner,rule_violation,government - hospital district or authority,governmenx - hospixal disxricx or auxhorixy,0,"Constraint Violation: The HospitalName of Row 31 is equal to the HospitalName of Row 32, and The HospitalOwner of Row 31 is different from the HospitalOwner of Row 32.","(31, 32)"
36,PhoneNumber,rule_violation,3347938701,xx479x8701,0,"Constraint Violation: The HospitalName of Row 36 is equal to the HospitalName of Row 38, and The PhoneNumber of Row 36 is different from the PhoneNumber of Row 38.","(36, 38)"
39,HospitalType,pattern_violation,acute care hospitals,acxte care hospitals,0,,
42,State,pattern_violation,al,xl,0,,
42,HospitalOwner,rule_violation,government - hospital district or authority,gxvernment - hxspital district xr authxrity,0,"Constraint Violation: The HospitalName of Row 39 is equal to the HospitalName of Row 42, and The HospitalOwner of Row 39 is different from the HospitalOwner of Row 42.","(39, 42)"
43,EmergencyService,rule_violation,yes,yex,0,"Constraint Violation: The ZipCode of Row 30 is equal to the ZipCode of Row 43, and The EmergencyService of Row 30 is different from the EmergencyService of Row 43.","(30, 43)"
