row_id,column,error_type,error_value,right_value,missing_value,constraint,tuple_pairs
0,RatingCount,pattern_violation,"379,998",379998,0,,
1,RatingCount,pattern_violation,"46,421",46421,0,,
2,RatingCount,pattern_violation,"12,684",12684,0,,
4,RatingCount,pattern_violation,"3,341",3341,0,,
5,RatingCount,pattern_violation,"11,928",11928,0,,
6,RatingCount,pattern_violation,"14,283",14283,0,,
7,RatingCount,pattern_violation,"14,700",14700,0,,
8,RatingCount,pattern_violation,"15,051",15051,0,,
10,RatingCount,pattern_violation,"1,294",1294,0,,
11,RatingCount,pattern_violation,"1,188",1188,0,,
12,RatingCount,pattern_violation,"194,889",194889,0,,
13,RatingCount,pattern_violation,"444,001",444001,0,,
14,RatingCount,pattern_violation,"124,230",124230,0,,
15,RatingCount,pattern_violation,"59,104",59104,0,,
16,RatingCount,pattern_violation,"95,376",95376,0,,
17,RatingValue,pattern_violation,7,7,0,,
17,RatingCount,pattern_violation,"296,307",296307,0,,
18,RatingValue,pattern_violation,7,7,0,,
18,RatingCount,pattern_violation,"194,551",194551,0,,
19,RatingCount,pattern_violation,"145,752",145752,0,,
20,RatingCount,pattern_violation,"345,095",345095,0,,
21,RatingCount,pattern_violation,"208,302",208302,0,,
22,RatingCount,pattern_violation,"349,182",349182,0,,
23,RatingCount,pattern_violation,"7,135",7135,0,,
24,RatingCount,pattern_violation,"62,359",62359,0,,
25,RatingCount,pattern_violation,"463,639",463639,0,,
26,RatingCount,pattern_violation,"176,103",176103,0,,
30,RatingCount,pattern_violation,"294,740",294740,0,,
31,RatingCount,pattern_violation,"203,621",203621,0,,
32,RatingValue,pattern_violation,7,7,0,,
32,RatingCount,pattern_violation,"79,168",79168,0,,
33,RatingCount,pattern_violation,"9,255",9255,0,,
34,RatingCount,pattern_violation,"12,144",12144,0,,
35,RatingCount,pattern_violation,"356,710",356710,0,,
36,RatingCount,pattern_violation,"381,808",381808,0,,
37,RatingCount,pattern_violation,"521,173",521173,0,,
38,RatingCount,pattern_violation,"121,390",121390,0,,
39,RatingCount,pattern_violation,"210,746",210746,0,,
40,RatingCount,pattern_violation,"62,308",62308,0,,
41,RatingCount,pattern_violation,"3,097",3097,0,,
42,RatingCount,pattern_violation,"4,625",4625,0,,
43,RatingCount,pattern_violation,"29,293",29293,0,,
51,RatingCount,pattern_violation,"4,425",4425,0,,
52,RatingCount,pattern_violation,"141,023",141023,0,,
53,RatingCount,pattern_violation,"61,876",61876,0,,
54,RatingCount,pattern_violation,"116,168",116168,0,,
