row_id,column,error_type,error_value,right_value,missing_value,constraint,tuple_pairs
1,article_jvolumn,missing_value,,-1,1,,
1,article_jissue,missing_value,,-1,1,,
1,article_jcreated_at,pattern_violation,2004/2/15,2/15/04,0,,
2,article_jcreated_at,rule_violation,2012/1/6,2001/6/12,0,"Constraint Violation: The jounral_abbreviation of Row 2 is different from the jounral_abbreviation of Row 86, and The article_language of Row 2 is equal to the article_language of Row 86, and The article_jcreated_at of Row 2 is equal to the article_jcreated_at of Row 86.","(2, 86)"
3,article_jcreated_at,rule_violation,2001/1/13,1/13/01,0,"Constraint Violation: The article_language of Row 3 is different from the article_language of Row 111, and The article_jcreated_at of Row 3 is equal to the article_jcreated_at of Row 111, and The jounral_abbreviation of Row 3 is equal to the jounral_abbreviation of Row 111.","(3, 111)"
4,article_jcreated_at,pattern_violation,2010/1/15,1/15/10,0,,
5,article_jcreated_at,rule_violation,2001/1/9,2001/9/1,0,"Constraint Violation: The jounral_abbreviation of Row 5 is different from the jounral_abbreviation of Row 687, and The article_language of Row 5 is equal to the article_language of Row 687, and The article_jcreated_at of Row 5 is equal to the article_jcreated_at of Row 687.","(5, 687)"
7,article_jcreated_at,pattern_violation,2007/1/1,2001/1/7,0,,
7,author_list,pattern_violation,"{""St��_ber F"",""Mutz N"",""Wrigge H"",""Putensen C"",""Zinserling J"",""Zech S"",""Von Spiegel T""}","{""St_ber F"",""Mutz N"",""Wrigge H"",""Putensen C"",""Zinserling J"",""Zech S"",""Von Spiegel T""}",0,,
8,article_jcreated_at,rule_violation,2001/1/11,2001/11/1,0,"Constraint Violation: The id of Row 8 is greater than or equal to the id of Row 21, and The article_language of Row 8 is equal to the article_language of Row 21, and The article_jcreated_at of Row 8 is equal to the article_jcreated_at of Row 21.","(8, 21)"
9,article_jcreated_at,rule_violation,2001/1/6,2001/6/1,0,"Constraint Violation: The id of Row 9 is greater than or equal to the id of Row 886, and The article_language of Row 9 is equal to the article_language of Row 886, and The article_jcreated_at of Row 9 is equal to the article_jcreated_at of Row 886.","(9, 886)"
10,article_jcreated_at,rule_violation,2001/1/9,2001/9/1,0,"Constraint Violation: The article_language of Row 10 is different from the article_language of Row 734, and The article_jcreated_at of Row 10 is equal to the article_jcreated_at of Row 734, and The jounral_abbreviation of Row 10 is equal to the jounral_abbreviation of Row 734.","(10, 734)"
11,article_jcreated_at,rule_violation,2001/1/15,1/15/01,0,"Constraint Violation: The id of Row 11 is greater than or equal to the id of Row 352, and The article_language of Row 11 is equal to the article_language of Row 352, and The article_jcreated_at of Row 11 is equal to the article_jcreated_at of Row 352.","(11, 352)"
12,article_jcreated_at,rule_violation,2001/1/13,1/13/01,0,"Constraint Violation: The jounral_abbreviation of Row 12 is different from the jounral_abbreviation of Row 123, and The article_language of Row 12 is equal to the article_language of Row 123, and The article_jcreated_at of Row 12 is equal to the article_jcreated_at of Row 123.","(12, 123)"
13,article_jcreated_at,rule_violation,2001/1/11,2001/11/1,0,"Constraint Violation: The journal_issn of Row 13 is different from the journal_issn of Row 498, and The article_jcreated_at of Row 13 is equal to the article_jcreated_at of Row 498, and The jounral_abbreviation of Row 13 is equal to the jounral_abbreviation of Row 498.","(13, 498)"
14,article_jcreated_at,rule_violation,2001/1/11,2001/11/1,0,"Constraint Violation: The journal_issn of Row 14 is different from the journal_issn of Row 882, and The article_jcreated_at of Row 14 is equal to the article_jcreated_at of Row 882, and The jounral_abbreviation of Row 14 is equal to the jounral_abbreviation of Row 882.","(14, 882)"
16,article_jissue,missing_value,,-1,1,,
16,article_jcreated_at,rule_violation,2001/1/12,2001/12/1,0,"Constraint Violation: The id of Row 16 is greater than or equal to the id of Row 235, and The article_language of Row 16 is equal to the article_language of Row 235, and The article_jcreated_at of Row 16 is equal to the article_jcreated_at of Row 235.","(16, 235)"
17,article_jcreated_at,rule_violation,2001/1/5,2001/5/1,0,"Constraint Violation: The journal_issn of Row 17 is different from the journal_issn of Row 134, and The article_jcreated_at of Row 17 is equal to the article_jcreated_at of Row 134, and The jounral_abbreviation of Row 17 is equal to the jounral_abbreviation of Row 134.","(17, 134)"
19,article_jcreated_at,pattern_violation,2006/1/7,2001/7/6,0,,
20,article_jcreated_at,rule_violation,2012/1/13,1/13/12,0,"Constraint Violation: The jounral_abbreviation of Row 20 is different from the jounral_abbreviation of Row 157, and The article_language of Row 20 is equal to the article_language of Row 157, and The article_jcreated_at of Row 20 is equal to the article_jcreated_at of Row 157.","(20, 157)"
21,article_jcreated_at,rule_violation,2001/1/11,2001/11/1,0,"Constraint Violation: The article_language of Row 21 is different from the article_language of Row 498, and The article_jcreated_at of Row 21 is equal to the article_jcreated_at of Row 498, and The jounral_abbreviation of Row 21 is equal to the jounral_abbreviation of Row 498.","(21, 498)"
22,article_jcreated_at,rule_violation,2012/1/14,1/14/12,0,"Constraint Violation: The jounral_abbreviation of Row 22 is different from the jounral_abbreviation of Row 462, and The article_language of Row 22 is equal to the article_language of Row 462, and The article_jcreated_at of Row 22 is equal to the article_jcreated_at of Row 462.","(22, 462)"
24,article_jcreated_at,rule_violation,2001/1/12,2001/12/1,0,"Constraint Violation: The journal_issn of Row 24 is different from the journal_issn of Row 603, and The article_jcreated_at of Row 24 is equal to the article_jcreated_at of Row 603, and The jounral_abbreviation of Row 24 is equal to the jounral_abbreviation of Row 603.","(24, 603)"
25,article_jcreated_at,rule_violation,2003/1/14,1/14/03,0,"Constraint Violation: The jounral_abbreviation of Row 25 is different from the jounral_abbreviation of Row 574, and The article_language of Row 25 is equal to the article_language of Row 574, and The article_jcreated_at of Row 25 is equal to the article_jcreated_at of Row 574.","(25, 574)"
26,article_jcreated_at,pattern_violation,2012/1/8,2001/8/12,0,,
28,article_jcreated_at,rule_violation,2001/1/13,1/13/01,0,"Constraint Violation: The id of Row 28 is greater than or equal to the id of Row 470, and The article_language of Row 28 is equal to the article_language of Row 470, and The article_jcreated_at of Row 28 is equal to the article_jcreated_at of Row 470.","(28, 470)"
